retrieval,study_ref,microbe,bacteria.code,exposed.R,syndrome,first author(s),study year,study period,study type,country,n_exposed,n_nonexposed,los,review_marker,cost_year,cost_currency,measure,se.measure,avexp,lowexp,highexp,otherexp,avnon,lownon,highnon,othernon,p,minexp,maxexp,minnon,maxnon,pvalue_flag,notes,both_los_cost,unique_id_4both,FLAG_COMPLETE,FLAG_MONEY,FLAG_EXPOSED<NON
zhen_90,"Huang W, Qiao F, Zhang Y, Huang J, Deng Y, Li J, et al. In-hospital medical
costs of infections caused by carbapenem-resistant Klebsiella pneumoniae.
Clin Infect Dis. 2018;672:S225–30",Klebsiella pneumoniae,kpn,carbapenems,INF,Huang,2017,01/17-12/17,Retrospective cohort study,China,237,237,0,AMR,2017,USD,median,range,9215,3358,20859,,6904,2641,15336,,,,,,,0.003,Post infection,1,39,FALSE,FALSE,FALSE
cassini_202,"Hulten KG, Kaplan SL, Lamberth LB, et al. Hospital-acquired Staphylococcus aureus infections at Texas Children's Hospital, 2001-2007. Infection control and hospital epidemiology. Feb 2010;31(2):183-190.",Staphylococcus aureus,sau,methicillin,INF,Hulten,2010,08/01-07/07,Retrospective cohort study,USA,69,14,1,AMR,,,median,range,29,3,339,,29,9,405,,,,,,,,"USA300 strain, Extracted different results to those in Cassini – think they extracted one strain of MRSA vs other strains of MRSA (but then discrepancies in sample sizes, have used figures from paper)",0,0,FALSE,FALSE,FALSE
cassini_202,"Hulten KG, Kaplan SL, Lamberth LB, et al. Hospital-acquired Staphylococcus aureus infections at Texas Children's Hospital, 2001-2007. Infection control and hospital epidemiology. Feb 2010;31(2):183-190.",Staphylococcus aureus,sau,methicillin,INF,Hulten,2010,08/01-07/07,Retrospective cohort study,USA,26,133,1,AMR,,,median,range,56,0,158,,49,0,418,,,,,,,,"non-USA300 strain, Extracted different results to those in Cassini – think they extracted one strain of MRSA vs other strains of MRSA (but then discrepancies in sample sizes, have used figures from paper)",0,0,FALSE,FALSE,FALSE
cassini_105,"Hussein K, Raz-Pasteur A, Finkelstein R, et al. Impact of carbapenem resistance on the outcome of patients' hospital-acquired bacteraemia caused by Klebsiella pneumoniae. Journal of Hospital Infection. 2013;83(4):307-313.",Klebsiella pneumoniae,kpn,carbapenems,BSI,Hussein,2013,01/06-12/08,Retrospective case-control study,Israel,103,214,1,AMR,,,median,range,17,1,125,,12,1,202,,,,,,,,,0,0,FALSE,FALSE,FALSE
naylor_88,"Issler-Fisher AC, McKew G, Fisher OM, Harish V, Gottlieb T, Maitz PKM. Risk factors for, and the effect of MRSA colonization on the clinical outcomes of severely burnt patients. Burns. Elsevier Ltd and International Society of Burns Injuries; 2015;41:1212–20. ",Staphylococcus,sau,methicillin,COL/INF,Issler-Fisher,2015,01/2012-10/2013,Retrospective case-control,Australia,57,300,1,DRI,,,median,IQR,25.5,17.8,35.8,,8,4,14.2,,,,,,,,"p<0.001, in burn patients",0,0,FALSE,FALSE,FALSE
zhen_70,"Jiang HL, Zhou Z, Wang LS, Fang Y, Li YH, Chu CI. The risk factors, costs, and
survival analysis of invasive VRE infections at a medical center in eastern
Taiwan. Int J Infect Dis. 2017;54:18–24.",Enterococcus,efa,vancomycin,INF,Jiang,2017,2007 - 2012,Cohort,Taiwan,48,142,1,AMR,,,mean,sd,32.5,,,34.3,24.2,,,25.9,0.082,,,,,,after infection,0,0,FALSE,FALSE,FALSE
cassini_122,"Jiao Y, Qin Y, Liu J, et al. Risk factors for carbapenem-resistant Klebsiella pneumoniae infection/colonization and predictors of mortality: a retrospective study. Pathogens and global health. Mar 2015;109(2):68-74.",Klebsiella pneumoniae,kpn,carbapenems,COL/INF,Jiao,2015,01/10-1/11,Retrospective case-control study,China,30,30,1,AMR,,,mean,sd,33.8,,,30.8,18,,,23.4,,,,,,,,0,0,FALSE,FALSE,FALSE
cassini_203,"Joo EJ, Chung DR, Ha YE, et al. Clinical predictors of community-genotype ST72-methicillin-resistant Staphylococcus aureus-SCCmec type IV in patients with community-onset S. aureus infection. The Journal of antimicrobial chemotherapy. Jul 2012;67(7):1755-1759.",Staphylococcus aureus,sau,methicillin,INF,Joo,2012,2007-2009,Matched case-control study,South Korea,84,84,1,AMR,,,median,range,20,2,202,,22,2,158,,0.085,,,,,,"admission date, gives breakdown of types of infections",0,0,FALSE,FALSE,TRUE
cassini_255,"Joo EJ, Kang CI, Ha YE, et al. Risk factors for mortality in patients with Pseudomonas aeruginosa bacteremia: clinical impact of antimicrobial resistance on outcome. Microbial drug resistance (Larchmont, N.Y.). Jun 2011;17(2):305-312.",Pseudomonas aeruginosa,pae,carbapenems,BSI,Joo,2011,10/07-03/09,Retrospective cohort study,South Korea,46,156,1,AMR,,,median,IQR,16,14,42,,16,9,29,,,,,,,,"adjusted for corticosteroid use, nosocomial acquisition, polymicrobial infection, Charlson’s weighted index of co-morbidity, and admission to ICUs",0,0,FALSE,FALSE,FALSE
cassini_263,"Judd WR, Ratliff PD, Hickson RP, Stephens DM, Kennedy CA. Clinical and economic impact of meropenem resistance in Pseudomonas aeruginosa–infected patients. American journal of infection control. 2016;44(11):1275-1279.",Pseudomonas aeruginosa,pae,carbapenems,INF,Judd,2016,01/11-12/13,Retrospective observational,USA,32,350,1,AMR,,,median,IQR,14,8,29,,9,5,15,,,,,,,,0.004,1,102,FALSE,FALSE,FALSE
cassini_263,"Judd WR, Ratliff PD, Hickson RP, Stephens DM, Kennedy CA. Clinical and economic impact of meropenem resistance in Pseudomonas aeruginosa–infected patients. American journal of infection control. 2016;44(11):1275-1279.",Pseudomonas aeruginosa,pae,carbapenems,INF,Judd,2016,01/11-12/13,Retrospective observational,USA,32,350,0,AMR,2013,USD,median,IQR,37331,17141,77333,,15995,8542,31811,,,,,,,,,1,102,FALSE,FALSE,FALSE
zhen_68,"Jung E, Byun S, Lee H, Moon SY, Lee H. Vancomycin-resistant Enterococcus
colonization in the intensive care unit: clinical outcomes and attributable
costs of hospitalization. Am J Infect Control. 2014;42:1062–6.",Enterococcus,efa,vancomycin,COL,Jung ,2014,01/2008-12/2010,Retrospective matched cohort,South Korea,199,199,0,DRI,2014,KRW,excess,pvalue,627632,,,,,,,,0.268,,,,,,,1,89,FALSE,FALSE,FALSE
zhen_68,"Jung E, Byun S, Lee H, Moon SY, Lee H. Vancomycin-resistant Enterococcus
colonization in the intensive care unit: clinical outcomes and attributable
costs of hospitalization. Am J Infect Control. 2014;42:1062–6.",Enterococcus,efa,vancomycin,COL,Jung ,2014,01/2008-12/2010,Retrospective matched cohort,South Korea,199,199,1,DRI,,,excess,pvalue,5.35,,,,,,,,0.004,,,,,,,1,89,FALSE,FALSE,FALSE
cassini_339,"Khair HN, VanTassell P, Henderson JP, Warren DK, Marschall J, Program CDCPE. Vancomycin resistance has no influence on outcomes of enterococcal bacteriuria. The Journal of hospital infection. Nov 2013;85(3):183-188.",Enterococcus faecium,efa,vancomycin,UTI,Khair,2013,2011,Prospective cohort study,USA,74,180,1,AMR,,,mean,range,6.8,0.1,150.8,,5,0.2,78.2,,0.08,,,,,,,0,0,FALSE,FALSE,FALSE
cassini_146,"Kim BN, Woo JH, Kim MN, Ryu J, Kim YS. Clinical implications of extended-spectrum beta-lactamase-producing Klebsiella pneumoniae bacteraemia. The Journal of hospital infection. Oct 2002;52(2):99-106.",Klebsiella pneumoniae,kpn,3g cephalosporins,BSI,Kim,2002,07/96-06/00,Retrospective cohort study,South Korea,44,118,1,AMR,,,mean,pvalue,39.6,,,,23.9,,,,0.008,,,,,,,0,0,FALSE,FALSE,FALSE
naylor_95,"Kim C-J, Kim H-B, Oh M, Kim YYK, Kim A, Oh S-H, et al. The burden of nosocomial staphylococcus aureus bloodstream infection in South Korea: a prospective hospital-based nationwide study. BMC infectious diseases. 2014;14:590. ",Staphylococcus aureus,sau,methicillin,BSI,Kim,2014,07/11-09/11,Cohort,South Korea,133,57,0,AMR,2011,USD,median,IQR,19318,9852,29438,,8030,4998,17733,,,,,,,,"adults, both resistant and susceptible compared to non-infected (matched, same numbers respectively)",1,4,FALSE,FALSE,FALSE
naylor_95,"Kim C-J, Kim H-B, Oh M, Kim YYK, Kim A, Oh S-H, et al. The burden of nosocomial staphylococcus aureus bloodstream infection in South Korea: a prospective hospital-based nationwide study. BMC infectious diseases. 2014;14:590. ",Staphylococcus aureus,sau,methicillin,BSI,Kim,2014,07/11-09/11,Cohort,South Korea,133,57,1,AMR,,,mean,sd,38.5,,,26.8,29.4,,,20.7,,,,,,,"adults, both resistant and susceptible compared to non-infected (matched, same numbers respectively)",1,4,FALSE,FALSE,FALSE
naylor_95,"Kim C-J, Kim H-B, Oh M, Kim YYK, Kim A, Oh S-H, et al. The burden of nosocomial staphylococcus aureus bloodstream infection in South Korea: a prospective hospital-based nationwide study. BMC infectious diseases. 2014;14:590. ",Staphylococcus aureus,sau,methicillin,BSI,Kim,2014,07/11-09/11,Cohort,South Korea,133,133,1,DRI,,,mean,sd,38.5,,,26.8,25.8,,,28,,,,,,,,0,0,FALSE,FALSE,FALSE
naylor_95,"Kim C-J, Kim H-B, Oh M, Kim YYK, Kim A, Oh S-H, et al. The burden of nosocomial staphylococcus aureus bloodstream infection in South Korea: a prospective hospital-based nationwide study. BMC infectious diseases. 2014;14:590. ",Staphylococcus aureus,sau,methicillin,BSI,Kim,2014,07/11-09/11,Cohort,South Korea,133,133,0,DRI,2011,USD,median,IQR,19318,9852,29438,,7092,2864,,14609,,,,,,,,0,0,FALSE,FALSE,FALSE
cassini_1,"Kim SB, Min YH, Cheong JW, et al. Incidence and risk factors for carbapenem- and multidrug-resistant Acinetobacter baumannii bacteremia in hematopoietic stem cell transplantation recipients. Scandinavian journal of infectious diseases. Feb 2014;46(2):81-88.",Acinetobacter baumannii,aba,carbapenems,BSI,Kim,2014,01/05-12/11,Restropsective case-control study,South Korea,19,38,1,DRI,,,median,range,35,30,47,,29,26.75,34,,,,,,,,hematopoietic stem cell transplantation patients,0,0,FALSE,FALSE,FALSE
naylor_99,"Kini AR, Shetty V, Kumar AM, Shetty SM, Shetty A. Community-associated, methicillin-susceptible, and methicillin-resistant Staphylococcus aureus bone and joint infections in children. Journal of Pediatric Orthopaedics B. 2013;22:158–66. ",Staphylococcus aureus,sau,methicillin,B-J,Kini,2013,01/04-12/08,Retrospective cohort study,India,41,33,1,AMR,,,mean,range,16.6,7,34,,10.5,4,23,,,,,,,,"<18 years old, bone and joint",0,0,FALSE,FALSE,FALSE
zhen_26,"Klein EY, Jiang W, Mojica N, Tseng KK, McNeill R, Cosgrove SE, et al. National
costs associated with methicillin-susceptible and methicillin-resistant
Staphylococcus aureus hospitalizations in the United States, 2010-2014. Clin
Infect Dis. 2019;68:22–8.",Staphylococcus aureus,sau,methicillin,BSI,Klein,2019,2010-2014,Cohort,USA,54255,57065,0,AMR,2014,USD,mean,95ci,34526,32918,36134,,34175,32347,36002,,0.69,,,,,,Septicemia,1,11,FALSE,FALSE,FALSE
zhen_26,"Klein EY, Jiang W, Mojica N, Tseng KK, McNeill R, Cosgrove SE, et al. National
costs associated with methicillin-susceptible and methicillin-resistant
Staphylococcus aureus hospitalizations in the United States, 2010-2014. Clin
Infect Dis. 2019;68:22–8.",Staphylococcus aureus,sau,methicillin,BSI,Klein,2019,2010-2014,Cohort,USA,54255,57065,1,AMR,,,median,IQR,10,6,17,,9,6,15,,,,,,,,Septicemia,1,11,FALSE,FALSE,FALSE
zhen_26,"Klein EY, Jiang W, Mojica N, Tseng KK, McNeill R, Cosgrove SE, et al. National
costs associated with methicillin-susceptible and methicillin-resistant
Staphylococcus aureus hospitalizations in the United States, 2010-2014. Clin
Infect Dis. 2019;68:22–8.",Staphylococcus aureus,sau,methicillin,INF,Klein,2019,2010-2014,Cohort,USA,358140,257930,1,AMR,,,median,IQR,6,4,11,,7,4,12,,,,,,,,All,0,0,FALSE,FALSE,TRUE
zhen_26,"Klein EY, Jiang W, Mojica N, Tseng KK, McNeill R, Cosgrove SE, et al. National
costs associated with methicillin-susceptible and methicillin-resistant
Staphylococcus aureus hospitalizations in the United States, 2010-2014. Clin
Infect Dis. 2019;68:22–8.",Staphylococcus aureus,sau,methicillin,RTI,Klein,2019,2010-2014,Cohort,USA,48780,25020,1,AMR,,,median,IQR,10,6,18,,12,7,20,,,,,,,,Pneumonia,1,54,FALSE,FALSE,TRUE
zhen_26,"Klein EY, Jiang W, Mojica N, Tseng KK, McNeill R, Cosgrove SE, et al. National
costs associated with methicillin-susceptible and methicillin-resistant
Staphylococcus aureus hospitalizations in the United States, 2010-2014. Clin
Infect Dis. 2019;68:22–8.",Staphylococcus aureus,sau,methicillin,RTI,Klein,2019,2010-2014,Cohort,USA,48780,25020,0,AMR,2014,USD,mean,95ci,38561,36811,40725,,40725,38717,42733,,0.045,,,,,,Pneumonia,1,54,FALSE,FALSE,TRUE
zhen_26,"Klein EY, Jiang W, Mojica N, Tseng KK, McNeill R, Cosgrove SE, et al. National
costs associated with methicillin-susceptible and methicillin-resistant
Staphylococcus aureus hospitalizations in the United States, 2010-2014. Clin
Infect Dis. 2019;68:22–8.",Staphylococcus aureus,sau,methicillin,INF,Klein,2019,2010-2014,Cohort,USA,255105,175845,1,AMR,,,median,IQR,5,3,9,,6,3,9,,,,,,,,Other,1,55,FALSE,FALSE,TRUE
zhen_26,"Klein EY, Jiang W, Mojica N, Tseng KK, McNeill R, Cosgrove SE, et al. National
costs associated with methicillin-susceptible and methicillin-resistant
Staphylococcus aureus hospitalizations in the United States, 2010-2014. Clin
Infect Dis. 2019;68:22–8.",Staphylococcus aureus,sau,methicillin,INF,Klein,2019,2010-2014,Cohort,USA,255105,175845,0,AMR,2014,USD,mean,95ci,14792,14383,15201,,15578,15079,16077,,,,,,,,"Other, p<0.001",1,55,FALSE,FALSE,TRUE
zhen_35,"Kopp BJ, Nix DE, Armstrong EP. Clinical and economic analysis of
methicillin-susceptible and -resistant Staphylococcus aureus infections. Ann
Pharmacother. 2004;38:1377–82.",Staphylococcus aureus,sau,methicillin,INF,Kopp,2004,01/1999-12/2000,Cohort,USA,34,34,0,AMR,2000,USD,median,IQR,16575,7275,89157,,12862,5292,36471,,0.11,,,,,,,1,12,FALSE,FALSE,FALSE
zhen_35,"Kopp BJ, Nix DE, Armstrong EP. Clinical and economic analysis of
methicillin-susceptible and -resistant Staphylococcus aureus infections. Ann
Pharmacother. 2004;38:1377–82.",Staphylococcus aureus,sau,methicillin,INF,Kopp,2004,01/1999-12/2000,Cohort,USA,34,34,1,AMR,,,median,IQR,15.5,7.5,35.5,,11,2,18.5,,0.054,,,,,,,1,12,FALSE,FALSE,FALSE
zhen_60,"Kramer TS, Remschmidt C, Werner S, Behnke M, Schwab F, Werner G, et al.
The importance of adjusting for enterococcus species when assessing the
burden of vancomycin resistance: a cohort study including over 1000 cases
of enterococcal bloodstream infections. Antimicrob Resist Infect Control.
2018;7:133.",Enterococcus,efa,vancomycin,BSI,Kramer,2018,01/2008-12/2015,Retrospective cohort study,Germany,103,493,1,AMR,,,median,IQR,54,36,85,,42,23,75,,0.01,,,,,,total hospital stay,1,31,FALSE,FALSE,FALSE
zhen_60,"Kramer TS, Remschmidt C, Werner S, Behnke M, Schwab F, Werner G, et al.
The importance of adjusting for enterococcus species when assessing the
burden of vancomycin resistance: a cohort study including over 1000 cases
of enterococcal bloodstream infections. Antimicrob Resist Infect Control.
2018;7:133.",Enterococcus,efa,vancomycin,BSI,Kramer,2018,01/2008-12/2015,Retrospective cohort study,Germany,103,493,0,AMR,2015,USD,excess_median,IQR,32274,28117,41765,,,,,,,,,,,,total hospital stay,1,31,FALSE,FALSE,FALSE
cassini_158,"Kuo KC, Shen YH, Hwang KP. Clinical implications and risk factors of extended-spectrum beta-lactamase-producing Klebsiella pneumoniae infection in children: a case-control retrospective study in a medical center in southern Taiwan. Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi. Jun 2007;40(3):248-254.",Klebsiella pneumoniae,kpn,ESBL,INF,Kuo,2007,"01/00-10/05",Case-control study,Taiwan,54,54,1,AMR,,,mean,sd,34.4,,,5.2,14.3,,,2.3,,,,,,,"matching on type of speciment, date of isolation, P<0.001, "". Of these 54 K. pneumoniae isolates, seventeen
isolates were from blood, six from central venous
catheter tip, 22 from urine, eight from pus, and one from
bronchioalveolar lavage""",0,0,FALSE,FALSE,FALSE
cassini_50,"Lambert ML, Suetens C, Savey A, et al. Clinical outcomes of health-care-associated infections and antimicrobial resistance in patients admitted to European intensive-care units: A cohort study. The Lancet Infectious Diseases. 2011;11(1):30-38.",Escherichia coli,eco,3g cephalosporins,BSI,Lambert,2011,01/05-12/08,Retrospective cohort study,Europe,21,131,1,AMR,,,median,IQR,16,4,24,,9,5,20,,,,,,,,"post infection, ICU patients, discharged alive",0,0,FALSE,FALSE,FALSE
cassini_50,"Lambert ML, Suetens C, Savey A, et al. Clinical outcomes of health-care-associated infections and antimicrobial resistance in patients admitted to European intensive-care units: A cohort study. The Lancet Infectious Diseases. 2011;11(1):30-38.",Escherichia coli,eco,3g cephalosporins,BSI,Lambert,2011,01/05-12/08,Retrospective cohort study,Europe,21,86,1,AMR,,,median,IQR,14,2,37,,7,3,17,,,,,,,,"post infection, ICU patients, discharged dead",0,0,FALSE,FALSE,FALSE
cassini_50,"Lambert ML, Suetens C, Savey A, et al. Clinical outcomes of health-care-associated infections and antimicrobial resistance in patients admitted to European intensive-care units: A cohort study. The Lancet Infectious Diseases. 2011;11(1):30-38.",Escherichia coli,eco,3g cephalosporins,RTI,Lambert,2011,01/05-12/08,Retrospective cohort study,Europe,31,327,1,AMR,,,median,IQR,18,11,29,,17,9,29,,,,,,,,"post infection, ICU patients, discharged alive",0,0,FALSE,FALSE,FALSE
cassini_50,"Lambert ML, Suetens C, Savey A, et al. Clinical outcomes of health-care-associated infections and antimicrobial resistance in patients admitted to European intensive-care units: A cohort study. The Lancet Infectious Diseases. 2011;11(1):30-38.",Escherichia coli,eco,3g cephalosporins,RTI,Lambert,2011,01/05-12/08,Retrospective cohort study,Europe,27,134,1,AMR,,,median,IQR,11,3,25,,11,5,24,,,,,,,,"post infection, ICU patients, discharged dead",0,0,FALSE,FALSE,FALSE
cassini_50,"Lambert ML, Suetens C, Savey A, et al. Clinical outcomes of health-care-associated infections and antimicrobial resistance in patients admitted to European intensive-care units: A cohort study. The Lancet Infectious Diseases. 2011;11(1):30-38.",Staphylococcus aureus,sau,methicillin,BSI,Lambert,2011,01/05-12/08,Prospective cohort study,Europe,106,210,1,AMR,,,median,IQR,14,6,24,,11,5,24,,,,,,,,"post infection, ICU patients, discharged alive",0,0,FALSE,FALSE,FALSE
cassini_50,"Lambert ML, Suetens C, Savey A, et al. Clinical outcomes of health-care-associated infections and antimicrobial resistance in patients admitted to European intensive-care units: A cohort study. The Lancet Infectious Diseases. 2011;11(1):30-38.",Staphylococcus aureus,sau,methicillin,BSI,Lambert,2011,01/05-12/08,Prospective cohort study,Europe,65,74,1,AMR,,,median,IQR,11,4,21,,7,2,19,,,,,,,,"post infection, ICU patients, discharged dead",0,0,FALSE,FALSE,FALSE
cassini_50,"Lambert ML, Suetens C, Savey A, et al. Clinical outcomes of health-care-associated infections and antimicrobial resistance in patients admitted to European intensive-care units: A cohort study. The Lancet Infectious Diseases. 2011;11(1):30-38.",Staphylococcus aureus,sau,methicillin,RTI,Lambert,2011,01/05-12/08,Prospective cohort study,Europe,348,774,1,AMR,,,median,IQR,15,8,27,,14,8,25,,,,,,,,"post infection, ICU patients, discharged alive",0,0,FALSE,FALSE,FALSE
cassini_50,"Lambert ML, Suetens C, Savey A, et al. Clinical outcomes of health-care-associated infections and antimicrobial resistance in patients admitted to European intensive-care units: A cohort study. The Lancet Infectious Diseases. 2011;11(1):30-38.",Staphylococcus aureus,sau,methicillin,RTI,Lambert,2011,01/05-12/08,Prospective cohort study,Europe,172,236,1,AMR,,,median,IQR,10,5,22,,8,4,18,,,,,,,,"post infection, ICU patients, discharged dead",0,0,FALSE,FALSE,FALSE
cassini_50,"Lambert ML, Suetens C, Savey A, et al. Clinical outcomes of health-care-associated infections and antimicrobial resistance in patients admitted to European intensive-care units: A cohort study. The Lancet Infectious Diseases. 2011;11(1):30-38.",Pseudomonas aeruginosa,pae,ceftazidime,BSI,Lambert,2011,01/05-12/08,Cohort study,Europe,48,171,1,AMR,,,median,IQR,16,7,33,,14,6,26,,,,,,,,"post infection, ICU patients, discharged alive",0,0,FALSE,FALSE,FALSE
cassini_50,"Lambert ML, Suetens C, Savey A, et al. Clinical outcomes of health-care-associated infections and antimicrobial resistance in patients admitted to European intensive-care units: A cohort study. The Lancet Infectious Diseases. 2011;11(1):30-38.",Pseudomonas aeruginosa,pae,ceftazidime,BSI,Lambert,2011,01/05-12/08,Cohort study,Europe,34,280,1,AMR,,,median,IQR,7,1,14,,7,2,18,,,,,,,,"post infection, ICU patients, discharged dead",0,0,FALSE,FALSE,FALSE
cassini_50,"Lambert ML, Suetens C, Savey A, et al. Clinical outcomes of health-care-associated infections and antimicrobial resistance in patients admitted to European intensive-care units: A cohort study. The Lancet Infectious Diseases. 2011;11(1):30-38.",Pseudomonas aeruginosa,pae,ceftazidime,RTI,Lambert,2011,01/05-12/08,Cohort study,Europe,208,786,1,AMR,,,median,IQR,18,11,33,,16,9,29,,,,,,,,"post infection, ICU patients, discharged alive",0,0,FALSE,FALSE,FALSE
cassini_50,"Lambert ML, Suetens C, Savey A, et al. Clinical outcomes of health-care-associated infections and antimicrobial resistance in patients admitted to European intensive-care units: A cohort study. The Lancet Infectious Diseases. 2011;11(1):30-38.",Pseudomonas aeruginosa,pae,ceftazidime,RTI,Lambert,2011,01/05-12/08,Cohort study,Europe,154,465,1,AMR,,,median,IQR,10,5,21,,13,5,24,,,,,,,,"post infection, ICU patients, discharged dead",0,0,FALSE,FALSE,TRUE
cassini_50,"Lambert ML, Suetens C, Savey A, et al. Clinical outcomes of health-care-associated infections and antimicrobial resistance in patients admitted to European intensive-care units: A cohort study. The Lancet Infectious Diseases. 2011;11(1):30-38.",Acinetobacter baumannii,aba,ceftazidime,RTI,Lambert,2011,01/05-12/08,Cohort study,Europe,81,26,1,AMR,,,median,IQR,14,11,26,,25,14,40,,,,,,,,"post infection, ICU patients, discharged alive",0,0,FALSE,FALSE,TRUE
cassini_50,"Lambert ML, Suetens C, Savey A, et al. Clinical outcomes of health-care-associated infections and antimicrobial resistance in patients admitted to European intensive-care units: A cohort study. The Lancet Infectious Diseases. 2011;11(1):30-38.",Acinetobacter baumannii,aba,ceftazidime,RTI,Lambert,2011,01/05-12/08,Cohort study,Europe,49,17,1,AMR,,,median,IQR,9,5,24,,15,10,25,,,,,,,,"post infection, ICU patients, discharged dead",0,0,FALSE,FALSE,TRUE
cassini_50,"Lambert ML, Suetens C, Savey A, et al. Clinical outcomes of health-care-associated infections and antimicrobial resistance in patients admitted to European intensive-care units: A cohort study. The Lancet Infectious Diseases. 2011;11(1):30-38.",Acinetobacter baumannii,aba,ceftazidime,BSI,Lambert,2011,01/05-12/08,Cohort study,Europe,17,5,1,AMR,,,median,IQR,20,7,38,,9,2,13,,,,,,,,"post infection, ICU patients, discharged alive",0,0,FALSE,FALSE,FALSE
cassini_50,"Lambert ML, Suetens C, Savey A, et al. Clinical outcomes of health-care-associated infections and antimicrobial resistance in patients admitted to European intensive-care units: A cohort study. The Lancet Infectious Diseases. 2011;11(1):30-38.",Acinetobacter baumannii,aba,ceftazidime,BSI,Lambert,2011,01/05-12/08,Cohort study,Europe,13,6,1,AMR,,,median,IQR,5,1,16,,16,10,29,,,,,,,,"post infection, ICU patients, discharged dead",0,0,FALSE,FALSE,TRUE
cassini_333,"Lautenbach E, Bilker WB, Brennan PJ. Enterococcal bacteremia: risk factors for vancomycin resistance and predictors of mortality. Infection control and hospital epidemiology. May 1999;20(5):318-323.",Enterococcus faecium,efa,vancomycin,BSI,Lautenbach,1999,01/93-12/95,Historical cohort study,USA,72,188,1,AMR,,,median,95ci,23,19.18,27.83,,12,9,15,,,,,,,,"note p<0.001, matched on unit",0,0,FALSE,FALSE,FALSE
zhen_78,"Lautenbach E, Patel JB, Bilker WB, Edelstein PH, Fishman NO. Extendedspectrum
beta-lactamase-producing Escherichia coli and Klebsiella
pneumoniae: risk factors for infection and impact of resistance on
outcomes. Clin Infect Dis. 2001;32:1162–71.",Enterobacteriaceae,ent,ESBL,INF,Lautenbach,2001,07/97-05/98,Restrospective cohort study,USA,33,66,1,AMR,,,median,range,11,0,167,,2,0,66,,0.003,,,,,,,0,0,FALSE,FALSE,FALSE
zhen_100,"Lautenbach E, Synnestvedt M, Weiner MG, Bilker WB, Vo L, Schein J, et al.
Epidemiology and impact of imipenem resistance in Acinetobacter
baumannii. Infect Control Hosp Epidemiol. 2009;30:1186–92.",Acinetobacter baumannii,aba,imipenem,COL/INF,Lautenbach,2009,01/89-12/04,Prospective cohort,USA,89,297,0,AMR,2015,USD,mean,95ci,393086,276636,509536,,276636,252785,396002,,0.03,,,,,,,1,41,FALSE,FALSE,FALSE
zhen_95,"Lautenbach E, Synnestvedt M, Weiner MG, Bilker WB, Vo L, Schein J, et al.
Imipenem resistance in Pseudomonas aeruginosa: emergence,
epidemiology, and impact on clinical and economic outcomes. Infect
Control Hosp Epidemiol. 2010;31:47–53. ",Pseudomonas aeruginosa,pae,imipenem,COL/INF,Lautenbach,2010,1980-2006,Case-control study,USA,253,2289,0,AMR,2015,USD,mean,95ci,295529,241780,349278,,241780,177913,212678,,,,,,,,p<0.001,0,0,FALSE,FALSE,FALSE
cassini_20,"Lautenbach E, Synnestvedt M, Weiner MG, et al. Epidemiology and impact of imipenem resistance in Acinetobacter baumannii. Infection control and hospital epidemiology. Dec 2009;30(12):1186-1192.",Acinetobacter baumannii,aba,imipenem,COL/INF,Lautenbach,2009,01/89-12/04,Prospective cohort,USA,89,297,1,AMR,,,median,range,21,14,29,,16,12,18,,0.07,,,,,,,1,41,FALSE,FALSE,FALSE
cassini_264,"Lautenbach E, Weiner MG, Nachamkin I, Bilker WB, Sheridan A, Fishman NO. Imipenem resistance among pseudomonas aeruginosa isolates: risk factors for infection and impact of resistance on clinical and economic outcomes. Infection control and hospital epidemiology. Sep 2006;27(9):893-900.",Pseudomonas aeruginosa,pae,imipenem,COL/INF,Lautenbach,2006,01/91-12/00,Case-control study,USA,142,737,1,AMR,,,median,IQR,15.5,5,31,,9,4,20,,,,,,,0.02,after culture,1,42,FALSE,FALSE,FALSE
zhen_92,"Lautenbach E, Weiner MG, Nachamkin I, Bilker WB, Sheridan A, Fishman NO.
Imipenem resistance among pseudomonas aeruginosa isolates: risk factors
for infection and impact of resistance on clinical and economic outcomes.
Infect Control Hosp Epidemiol. 2006;27:893–900.",Pseudomonas aeruginosa,pae,imipenem,COL/INF,Lautenbach,2006,01/91-12/00,Case-control study,USA,142,737,0,AMR,2015,USD,median,IQR,111871,39270,313857,,66549,26338,180391,,,,,,,,p<0.001,1,42,FALSE,FALSE,FALSE
cassini_153,"Lee JA, Kang CI, Joo EJ, et al. Epidemiology and clinical features of community-onset bacteremia caused by extended-spectrum beta-lactamase-producing Klebsiella pneumoniae. Microbial drug resistance (Larchmont, N.Y.). Jun 2011;17(2):267-273.",Klebsiella pneumoniae,kpn,3g cephalosporins,BSI,Lee,2011,01/02-09/09,Case-control study,South Korea,33,219,1,AMR,,,mean,sd,26.5,,,39,19.9,,,42.4,,,,,,,,0,0,FALSE,FALSE,FALSE
