"","World Bank Income Status","Country (ISO3 Code)","WHO-CHOICE Region","World Bank Geographical Region","World Health Organization Region","Gram stain","Antibiotic Class","Syndrome","Regional Level of MA for LOS","Number of Studies in MA for LOS","Mean Cost - from Excess LOS","Low 95% UI Bound - from Excess LOS","High 95% UI Bound - from Excess LOS","Regional Level of MA for Extracted Costs","Number of Studies in MA for Extracted Costs","Mean Cost - from Extracted Costs","Low 95% UI Bound - from Exctraced Costs","High 95% UI Bound - from Extraced Costs","Mean Cost - Across Both","Low 95% UI Bound - Across Both","High 95% UI Bound - Across Both","AMR_or_DRI","adj.factor","los.cost","Scenario 2 Mean Cost"
"2805","Lower middle income","IND","SEARO D","South Asia","SEARO","gn","carbapenems","BSI","global",13,67,18,163,NA,NA,NA,NA,NA,67,18,163,"AMR",2.68623198395786,67,246.977542925177
"2806","Lower middle income","IND","SEARO D","South Asia","SEARO","gp","glycopeptides","BSI","global",14,92,31,211,"global",5,2876,-628,6452,1484,16,5751,"AMR",2.68623198395786,92,339.133342524123
"2807","Lower middle income","IND","SEARO D","South Asia","SEARO","gp","penicillins","BSI","global",27,60,18,147,"global",12,215,-100,525,137,-37,462,"AMR",2.68623198395786,60,221.173919037472
"2808","Lower middle income","IND","SEARO D","South Asia","SEARO","gn","3g cephalosporins","COL/INF","income",1,45,18,99,"income",1,117,-112,336,81,-71,296,"AMR",2.68623198395786,45,165.880439278104
"2809","Lower middle income","IND","SEARO D","South Asia","SEARO","gn","carbapenems","COL/INF","global",21,75,25,174,"global",10,3418,130,6603,1746,26,6152,"AMR",2.68623198395786,75,276.467398796839
"2810","Lower middle income","IND","SEARO D","South Asia","SEARO","gp","glycopeptides","COL/INF","global",7,57,5,155,"global",4,22296,-705,45333,11177,2,41217,"AMR",2.68623198395786,57,210.115223085598
"2811","Lower middle income","IND","SEARO D","South Asia","SEARO","gp","penicillins","COL/INF","global",14,37,2,100,"global",7,3082,-3925,10499,1559,-3008,9147,"AMR",2.68623198395786,37,136.390583406441
"2812","Lower middle income","IND","SEARO D","South Asia","SEARO","gn","3g cephalosporins","RTI","global",7,4,-51,69,NA,NA,NA,NA,NA,4,-51,69,"AMR",2.68623198395786,4,14.7449279358314
"2813","Lower middle income","IND","SEARO D","South Asia","SEARO","gn","carbapenems","RTI","global",4,24,-91,159,"global",1,6149,-5344,18612,3086,-3372,16838,"AMR",2.68623198395786,24,88.4695676149886
"2814","Lower middle income","IND","SEARO D","South Asia","SEARO","tb","mdr","RTI","global",3,1641,-553,5214,"global",1,47799,-50319,148157,24720,-28084,128643,"AMR",2.68623198395786,1641,6049.10668567485
"2815","Lower middle income","IND","SEARO D","South Asia","SEARO","gp","penicillins","RTI","global",13,24,3,69,"global",5,-818,-5102,3788,-397,-4591,3033,"AMR",2.68623198395786,24,88.4695676149886
"2816","Lower middle income","IND","SEARO D","South Asia","SEARO","gp","penicillins","SSI","global",2,85,29,206,"global",2,37197,-12019,87468,18641,-4115,80983,"AMR",2.68623198395786,85,313.329718636418
"2817","Lower middle income","IND","SEARO D","South Asia","SEARO","gp","penicillins","SSTI","global",2,132,25,337,"global",2,607,-449,1739,370,-283,1573,"AMR",2.68623198395786,132,486.582621882437
"2818","Lower middle income","IND","SEARO D","South Asia","SEARO","gn","3g cephalosporins","UTI","global",4,40,13,98,"global",2,1605,-854,4004,823,-445,3666,"AMR",2.68623198395786,40,147.449279358314
"2819","Lower middle income","IND","SEARO D","South Asia","SEARO","gn","carbapenems","UTI","global",2,108,8,293,NA,NA,NA,NA,NA,108,8,293,"AMR",2.68623198395786,108,398.113054267449
"2820","Lower middle income","IND","SEARO D","South Asia","SEARO","gp","glycopeptides","UTI","global",1,36,-648,781,NA,NA,NA,NA,NA,36,-648,781,"AMR",2.68623198395786,36,132.704351422483
"2821","Lower middle income","KEN","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","B-J","income",1,55,18,127,NA,NA,NA,NA,NA,55,18,127,"AMR",2.68623198395786,55,202.742759117682
"2822","Lower middle income","KEN","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","BSI","global",29,45,15,106,"global",9,323,-141,760,184,-60,696,"AMR",2.68623198395786,45,165.880439278104
"2823","Lower middle income","KEN","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","BSI","global",13,53,14,125,NA,NA,NA,NA,NA,53,14,125,"AMR",2.68623198395786,53,195.370295149767
"2824","Lower middle income","KEN","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","BSI","global",14,74,25,168,"global",5,2829,-632,6146,1452,-82,5749,"AMR",2.68623198395786,74,272.781166812882
"2825","Lower middle income","KEN","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","BSI","whoc",1,171,65,370,"global",12,211,-107,506,191,-59,468,"AMR",2.68623198395786,171,630.345669256794
"2826","Lower middle income","KEN","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","COL/INF","income",1,36,14,77,"income",1,116,-104,331,76,-79,301,"AMR",2.68623198395786,36,132.704351422483
"2827","Lower middle income","KEN","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","COL/INF","global",21,60,19,141,"global",10,3457,272,6322,1758,21,5917,"AMR",2.68623198395786,60,221.173919037472
"2828","Lower middle income","KEN","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","COL/INF","global",7,46,3,128,"global",4,21818,-1043,45446,10932,1,41473,"AMR",2.68623198395786,46,169.566671262062
"2829","Lower middle income","KEN","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","COL/INF","global",14,30,3,79,"global",7,2952,-4248,10082,1491,-3156,9072,"AMR",2.68623198395786,30,110.586959518736
"2830","Lower middle income","KEN","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","RTI","global",7,3,-45,51,NA,NA,NA,NA,NA,3,-45,51,"AMR",2.68623198395786,3,11.0586959518736
"2831","Lower middle income","KEN","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","RTI","global",4,23,-70,133,"global",1,6302,-5575,17729,3162,-3355,16153,"AMR",2.68623198395786,23,84.7833356310308
"2832","Lower middle income","KEN","AFRO E","Sub-Saharan Africa","AFRO","tb","mdr","RTI","global",3,1372,-608,4699,"global",1,46836,-45447,135360,24104,-29309,122806,"AMR",2.68623198395786,1372,5057.51028199018
"2833","Lower middle income","KEN","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","RTI","global",13,19,3,48,"global",5,-755,-5214,3600,-368,-4331,2880,"AMR",2.68623198395786,19,70.0384076951993
"2834","Lower middle income","KEN","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","SSI","global",2,69,22,158,"global",2,39086,-9603,89494,19577,-5574,83481,"AMR",2.68623198395786,69,254.350006893092
"2835","Lower middle income","KEN","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","SSTI","global",2,109,23,259,"global",2,629,-577,1776,369,-356,1584,"AMR",2.68623198395786,109,401.799286251407
"2836","Lower middle income","KEN","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","UTI","global",4,32,10,75,"global",2,1556,-792,3818,794,-399,3481,"AMR",2.68623198395786,32,117.959423486652
"2837","Lower middle income","KEN","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","UTI","global",2,86,9,239,NA,NA,NA,NA,NA,86,9,239,"AMR",2.68623198395786,86,317.015950620376
"2838","Lower middle income","KEN","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","UTI","global",1,13,-521,566,NA,NA,NA,NA,NA,13,-521,566,"AMR",2.68623198395786,13,47.9210157914522
"2839","Lower middle income","KGZ","EURO B","Europe & Central Asia","EURO","gp","penicillins","B-J","income",1,44,16,97,NA,NA,NA,NA,NA,44,16,97,"AMR",2.68623198395786,44,162.194207294146
"2840","Lower middle income","KGZ","EURO B","Europe & Central Asia","EURO","gn","3g cephalosporins","BSI","wbregion",21,29,9,63,"wbregion",6,255,-207,707,142,-112,632,"AMR",2.68623198395786,29,106.900727534778
"2841","Lower middle income","KGZ","EURO B","Europe & Central Asia","EURO","gn","carbapenems","BSI","wbregion",3,31,-3,90,NA,NA,NA,NA,NA,31,-3,90,"AMR",2.68623198395786,31,114.273191502694
"2842","Lower middle income","KGZ","EURO B","Europe & Central Asia","EURO","gp","glycopeptides","BSI","wbregion",2,110,14,285,"wbregion",1,38467,-29772,105779,19289,-17290,92954,"AMR",2.68623198395786,110,405.485518235365
"2843","Lower middle income","KGZ","EURO B","Europe & Central Asia","EURO","gp","penicillins","BSI","wbregion",10,14,5,31,"wbregion",3,313,-527,1222,164,-429,1058,"AMR",2.68623198395786,14,51.60724777541
"2844","Lower middle income","KGZ","EURO B","Europe & Central Asia","EURO","gn","3g cephalosporins","COL/INF","income",1,29,12,59,"income",1,112,-108,342,70,-77,302,"AMR",2.68623198395786,29,106.900727534778
"2845","Lower middle income","KGZ","EURO B","Europe & Central Asia","EURO","gn","carbapenems","COL/INF","whoc",3,40,11,98,"global",10,3456,158,6590,1748,13,6130,"AMR",2.68623198395786,40,147.449279358314
"2846","Lower middle income","KGZ","EURO B","Europe & Central Asia","EURO","gp","glycopeptides","COL/INF","wbregion",1,81,-6,238,"wbregion",1,30523,-33715,88886,15302,-23357,79872,"AMR",2.68623198395786,81,298.584790700587
"2847","Lower middle income","KGZ","EURO B","Europe & Central Asia","EURO","gp","penicillins","COL/INF","wbregion",2,79,33,167,"wbregion",2,10105,-4166,23997,5092,-940,21491,"AMR",2.68623198395786,79,291.212326732671
"2848","Lower middle income","KGZ","EURO B","Europe & Central Asia","EURO","gn","3g cephalosporins","RTI","wbregion",6,-8,-38,16,NA,NA,NA,NA,NA,-8,-38,16,"AMR",2.68623198395786,-8,-29.4898558716629
"2849","Lower middle income","KGZ","EURO B","Europe & Central Asia","EURO","gn","carbapenems","RTI","wbregion",2,45,-21,141,"global",1,6343,-5566,17901,3194,-4244,16708,"AMR",2.68623198395786,45,165.880439278104
"2850","Lower middle income","KGZ","EURO B","Europe & Central Asia","EURO","tb","mdr","RTI","wbregion",2,1575,-428,4780,"wbregion",1,47954,-40478,139251,24765,-26017,124080,"AMR",2.68623198395786,1575,5805.81537473363
"2851","Lower middle income","KGZ","EURO B","Europe & Central Asia","EURO","gp","penicillins","RTI","wbregion",5,47,4,129,"wbregion",1,31102,-37935,99073,15574,-26399,89554,"AMR",2.68623198395786,47,173.252903246019
"2852","Lower middle income","KGZ","EURO B","Europe & Central Asia","EURO","gp","penicillins","SSI","global",2,55,19,123,"global",2,36747,-17801,87725,18401,-6289,79675,"AMR",2.68623198395786,55,202.742759117682
"2853","Lower middle income","KGZ","EURO B","Europe & Central Asia","EURO","gp","penicillins","SSTI","wbregion",1,66,19,154,"global",2,624,-427,1829,252,-149,1462,"AMR",2.68623198395786,66,243.291310941219
"2854","Lower middle income","KGZ","EURO B","Europe & Central Asia","EURO","gn","3g cephalosporins","UTI","wbregion",1,30,12,62,"wbregion",1,1308,-1263,3696,669,-818,3466,"AMR",2.68623198395786,30,110.586959518736
"2855","Lower middle income","KGZ","EURO B","Europe & Central Asia","EURO","gn","carbapenems","UTI","global",2,73,8,186,NA,NA,NA,NA,NA,73,8,186,"AMR",2.68623198395786,73,269.094934828924
"2856","Lower middle income","KGZ","EURO B","Europe & Central Asia","EURO","gp","glycopeptides","UTI","global",1,14,-384,435,NA,NA,NA,NA,NA,14,-384,435,"AMR",2.68623198395786,14,51.60724777541
"2857","Lower middle income","KHM","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","B-J","income",1,52,17,119,NA,NA,NA,NA,NA,52,17,119,"AMR",2.68623198395786,52,191.684063165809
"2858","Lower middle income","KHM","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","BSI","whoc",3,84,30,180,"wbregion",2,862,-595,2333,473,-419,2113,"AMR",2.68623198395786,84,309.64348665246
"2859","Lower middle income","KHM","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","BSI","whoc",1,51,-2,156,NA,NA,NA,NA,NA,51,-2,156,"AMR",2.68623198395786,51,187.997831181851
"2860","Lower middle income","KHM","WPRO B","East Asia & Pacific","WPRO","gp","glycopeptides","BSI","whoc",1,19,-96,152,"wbregion",1,23250,-21159,65232,11635,-13654,59591,"AMR",2.68623198395786,19,70.0384076951993
"2861","Lower middle income","KHM","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","BSI","whoc",4,144,44,332,"whoc",2,1281,-962,3424,713,-457,3078,"AMR",2.68623198395786,144,530.817405689932
"2862","Lower middle income","KHM","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","COL/INF","income",1,34,13,74,"income",1,115,-106,339,75,-70,307,"AMR",2.68623198395786,34,125.331887454567
"2863","Lower middle income","KHM","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","COL/INF","whoc",4,48,-7,144,"whoc",3,3694,-624,7941,1871,-34,7254,"AMR",2.68623198395786,48,176.939135229977
"2864","Lower middle income","KHM","WPRO B","East Asia & Pacific","WPRO","gp","glycopeptides","COL/INF","wbregion",1,73,-14,217,"global",4,21278,-557,43934,10675,-20,40847,"AMR",2.68623198395786,73,269.094934828924
"2865","Lower middle income","KHM","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","COL/INF","whoc",1,88,-611,834,"global",7,3110,-4585,10282,1599,-3063,9247,"AMR",2.68623198395786,88,324.388414588292
"2866","Lower middle income","KHM","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","RTI","whoc",1,102,32,238,NA,NA,NA,NA,NA,102,32,238,"AMR",2.68623198395786,102,375.995662363702
"2867","Lower middle income","KHM","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","RTI","wbregion",2,26,-308,395,"wbregion",1,6445,-5706,18340,3235,-4153,16574,"AMR",2.68623198395786,26,95.8420315829044
"2868","Lower middle income","KHM","WPRO B","East Asia & Pacific","WPRO","tb","mdr","RTI","wbregion",1,113,-10,356,"global",1,47176,-51131,144754,23644,-30712,121992,"AMR",2.68623198395786,113,416.544214187238
"2869","Lower middle income","KHM","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","RTI","wbregion",2,5,-59,67,"global",5,-686,-5231,3663,-340,-4515,3037,"AMR",2.68623198395786,5,18.4311599197893
"2870","Lower middle income","KHM","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","SSI","global",2,65,21,153,"global",2,36229,-16282,91676,18147,-8509,82554,"AMR",2.68623198395786,65,239.605078957261
"2871","Lower middle income","KHM","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","SSTI","whoc",1,160,27,405,"whoc",1,5763,-5697,17359,2961,-3901,15371,"AMR",2.68623198395786,160,589.797117433258
"2872","Lower middle income","KHM","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","UTI","wbregion",2,38,14,84,"global",2,1561,-885,3946,799,-459,3574,"AMR",2.68623198395786,38,140.076815390399
"2873","Lower middle income","KHM","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","UTI","global",2,82,3,233,NA,NA,NA,NA,NA,82,3,233,"AMR",2.68623198395786,82,302.271022684545
"2874","Lower middle income","KHM","WPRO B","East Asia & Pacific","WPRO","gp","glycopeptides","UTI","global",1,11,-443,495,NA,NA,NA,NA,NA,11,-443,495,"AMR",2.68623198395786,11,40.5485518235365
"2875","Lower middle income","KIR","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","B-J","income",1,109,36,269,NA,NA,NA,NA,NA,109,36,269,"AMR",2.68623198395786,109,401.799286251407
"2876","Lower middle income","KIR","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","BSI","whoc",3,175,62,401,"wbregion",2,910,-681,2380,542,-375,2179,"AMR",2.68623198395786,175,645.090597192625
"2877","Lower middle income","KIR","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","BSI","whoc",1,105,-4,310,NA,NA,NA,NA,NA,105,-4,310,"AMR",2.68623198395786,105,387.054358315575
"2878","Lower middle income","KIR","WPRO B","East Asia & Pacific","WPRO","gp","glycopeptides","BSI","whoc",1,41,-218,336,"wbregion",1,23332,-18333,69376,11687,-13115,62996,"AMR",2.68623198395786,41,151.135511342272
"2879","Lower middle income","KIR","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","BSI","whoc",4,300,96,715,"whoc",2,1243,-996,3393,771,-568,3078,"AMR",2.68623198395786,300,1105.86959518736
"2880","Lower middle income","KIR","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","COL/INF","income",1,71,27,158,"income",1,118,-129,347,94,-73,317,"AMR",2.68623198395786,71,261.722470861008
"2881","Lower middle income","KIR","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","COL/INF","whoc",4,100,-3,296,"whoc",3,3724,-916,7871,1912,-83,7405,"AMR",2.68623198395786,100,368.623198395786
"2882","Lower middle income","KIR","WPRO B","East Asia & Pacific","WPRO","gp","glycopeptides","COL/INF","wbregion",1,148,-26,458,"global",4,21110,-234,43083,10629,-29,39387,"AMR",2.68623198395786,148,545.562333625763
"2883","Lower middle income","KIR","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","COL/INF","whoc",1,182,-1124,1627,"global",7,3129,-3808,9932,1655,-2865,8808,"AMR",2.68623198395786,182,670.89422108033
"2884","Lower middle income","KIR","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","RTI","whoc",1,209,68,483,NA,NA,NA,NA,NA,209,68,483,"AMR",2.68623198395786,209,770.422484647193
"2885","Lower middle income","KIR","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","RTI","wbregion",2,49,-564,707,"wbregion",1,6424,-5518,18734,3237,-3802,17040,"AMR",2.68623198395786,49,180.625367213935
"2886","Lower middle income","KIR","WPRO B","East Asia & Pacific","WPRO","tb","mdr","RTI","wbregion",1,227,-3,639,"global",1,47921,-45646,139952,24074,-34081,125587,"AMR",2.68623198395786,227,836.774660358434
"2887","Lower middle income","KIR","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","RTI","wbregion",2,13,-115,150,"global",5,-904,-5180,3511,-446,-4349,2839,"AMR",2.68623198395786,13,47.9210157914522
"2888","Lower middle income","KIR","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","SSI","global",2,135,43,327,"global",2,35872,-18021,86722,18003,-6747,78550,"AMR",2.68623198395786,135,497.641317834311
"2889","Lower middle income","KIR","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","SSTI","whoc",1,331,47,853,"whoc",1,5591,-4948,16730,2961,-3380,14551,"AMR",2.68623198395786,331,1220.14278669005
"2890","Lower middle income","KIR","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","UTI","wbregion",2,78,30,178,"global",2,1593,-698,3991,835,-331,3566,"AMR",2.68623198395786,78,287.526094748713
"2891","Lower middle income","KIR","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","UTI","global",2,172,11,462,NA,NA,NA,NA,NA,172,11,462,"AMR",2.68623198395786,172,634.031901240752
"2892","Lower middle income","KIR","WPRO B","East Asia & Pacific","WPRO","gp","glycopeptides","UTI","global",1,21,-990,1071,NA,NA,NA,NA,NA,21,-990,1071,"AMR",2.68623198395786,21,77.4108716631151
"2893","Lower middle income","LAO","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","B-J","income",1,62,20,139,NA,NA,NA,NA,NA,62,20,139,"AMR",2.68623198395786,62,228.546383005387
"2894","Lower middle income","LAO","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","BSI","whoc",3,100,33,216,"wbregion",2,869,-584,2372,485,-432,2174,"AMR",2.68623198395786,100,368.623198395786
"2895","Lower middle income","LAO","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","BSI","whoc",1,63,1,180,NA,NA,NA,NA,NA,63,1,180,"AMR",2.68623198395786,63,232.232614989345
"2896","Lower middle income","LAO","WPRO B","East Asia & Pacific","WPRO","gp","glycopeptides","BSI","whoc",1,26,-113,206,"wbregion",1,22741,-21657,64614,11383,-15552,58956,"AMR",2.68623198395786,26,95.8420315829044
"2897","Lower middle income","LAO","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","BSI","whoc",4,170,51,395,"whoc",2,1324,-832,3542,747,-527,3157,"AMR",2.68623198395786,170,626.659437272836
"2898","Lower middle income","LAO","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","COL/INF","income",1,41,15,88,"income",1,120,-100,335,81,-72,307,"AMR",2.68623198395786,41,151.135511342272
"2899","Lower middle income","LAO","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","COL/INF","whoc",4,59,-1,166,"whoc",3,3513,-1050,8303,1786,-286,7580,"AMR",2.68623198395786,59,217.487687053514
"2900","Lower middle income","LAO","WPRO B","East Asia & Pacific","WPRO","gp","glycopeptides","COL/INF","wbregion",1,82,-32,268,"global",4,21768,-1663,45584,10925,-51,42311,"AMR",2.68623198395786,82,302.271022684545
"2901","Lower middle income","LAO","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","COL/INF","whoc",1,63,-853,966,"global",7,3234,-3738,10753,1649,-2652,9537,"AMR",2.68623198395786,63,232.232614989345
"2902","Lower middle income","LAO","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","RTI","whoc",1,124,39,319,NA,NA,NA,NA,NA,124,39,319,"AMR",2.68623198395786,124,457.092766010775
"2903","Lower middle income","LAO","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","RTI","wbregion",2,27,-394,425,"wbregion",1,5944,-7538,18070,2986,-4990,16437,"AMR",2.68623198395786,27,99.5282635668622
"2904","Lower middle income","LAO","WPRO B","East Asia & Pacific","WPRO","tb","mdr","RTI","wbregion",1,130,-13,376,"global",1,44298,-44742,132035,22214,-30754,117399,"AMR",2.68623198395786,130,479.210157914522
"2905","Lower middle income","LAO","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","RTI","wbregion",2,9,-64,82,"global",5,-696,-4860,3775,-344,-4174,3080,"AMR",2.68623198395786,9,33.1760878556207
"2906","Lower middle income","LAO","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","SSI","global",2,78,24,186,"global",2,36454,-15879,90195,18266,-9051,78493,"AMR",2.68623198395786,78,287.526094748713
"2907","Lower middle income","LAO","WPRO B","East Asia & Pacific","WPRO","gp","penicillins","SSTI","whoc",1,194,43,478,"whoc",1,5461,-6026,17277,2828,-4032,14722,"AMR",2.68623198395786,194,715.129004887825
"2908","Lower middle income","LAO","WPRO B","East Asia & Pacific","WPRO","gn","3g cephalosporins","UTI","wbregion",2,45,16,97,"global",2,1624,-918,4049,835,-444,3705,"AMR",2.68623198395786,45,165.880439278104
"2909","Lower middle income","LAO","WPRO B","East Asia & Pacific","WPRO","gn","carbapenems","UTI","global",2,97,3,264,NA,NA,NA,NA,NA,97,3,264,"AMR",2.68623198395786,97,357.564502443912
"2910","Lower middle income","LAO","WPRO B","East Asia & Pacific","WPRO","gp","glycopeptides","UTI","global",1,2,-570,525,NA,NA,NA,NA,NA,2,-570,525,"AMR",2.68623198395786,2,7.37246396791572
"2911","Lower middle income","LSO","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","B-J","income",1,43,14,99,NA,NA,NA,NA,NA,43,14,99,"AMR",2.68623198395786,43,158.507975310188
"2912","Lower middle income","LSO","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","BSI","global",29,35,12,80,"global",9,309,-145,767,172,-94,707,"AMR",2.68623198395786,35,129.018119438525
"2913","Lower middle income","LSO","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","BSI","global",13,43,11,110,NA,NA,NA,NA,NA,43,11,110,"AMR",2.68623198395786,43,158.507975310188
"2914","Lower middle income","LSO","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","BSI","global",14,58,19,131,"global",5,2878,-329,6328,1468,17,5879,"AMR",2.68623198395786,58,213.801455069556
"2915","Lower middle income","LSO","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","BSI","whoc",1,134,50,307,"global",12,223,-89,514,179,-38,476,"AMR",2.68623198395786,134,493.955085850353
"2916","Lower middle income","LSO","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","COL/INF","income",1,28,11,63,"income",1,113,-116,331,70,-73,289,"AMR",2.68623198395786,28,103.21449555082
"2917","Lower middle income","LSO","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","COL/INF","global",21,47,15,109,"global",10,3426,265,6613,1736,16,6045,"AMR",2.68623198395786,47,173.252903246019
"2918","Lower middle income","LSO","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","COL/INF","global",7,36,3,101,"global",4,21998,-1841,46104,11017,1,42161,"AMR",2.68623198395786,36,132.704351422483
"2919","Lower middle income","LSO","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","COL/INF","global",14,23,3,61,"global",7,3128,-3670,9873,1576,-2514,8882,"AMR",2.68623198395786,23,84.7833356310308
"2920","Lower middle income","LSO","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","RTI","global",7,2,-34,40,NA,NA,NA,NA,NA,2,-34,40,"AMR",2.68623198395786,2,7.37246396791572
"2921","Lower middle income","LSO","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","RTI","global",4,15,-60,102,"global",1,6220,-5358,18846,3117,-3920,16364,"AMR",2.68623198395786,15,55.2934797593679
"2922","Lower middle income","LSO","AFRO E","Sub-Saharan Africa","AFRO","tb","mdr","RTI","global",3,978,-457,3208,"global",1,46804,-37070,138023,23891,-26101,120744,"AMR",2.68623198395786,978,3605.13488031079
"2923","Lower middle income","LSO","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","RTI","global",13,15,2,39,"global",5,-785,-5250,4027,-385,-4523,3305,"AMR",2.68623198395786,15,55.2934797593679
"2924","Lower middle income","LSO","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","SSI","global",2,54,17,126,"global",2,36639,-15721,85979,18346,-8134,79261,"AMR",2.68623198395786,54,199.056527133724
"2925","Lower middle income","LSO","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","SSTI","global",2,87,15,217,"global",2,574,-501,1725,330,-317,1512,"AMR",2.68623198395786,87,320.702182604334
"2926","Lower middle income","LSO","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","UTI","global",4,25,8,60,"global",2,1506,-831,3816,766,-603,3455,"AMR",2.68623198395786,25,92.1557995989465
"2927","Lower middle income","LSO","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","UTI","global",2,68,3,187,NA,NA,NA,NA,NA,68,3,187,"AMR",2.68623198395786,68,250.663774909134
"2928","Lower middle income","LSO","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","UTI","global",1,22,-379,463,NA,NA,NA,NA,NA,22,-379,463,"AMR",2.68623198395786,22,81.0971036470729
"2929","Lower middle income","MAR","EMRO D","Middle East & North Africa","EMRO","gp","penicillins","B-J","income",1,132,48,320,NA,NA,NA,NA,NA,132,48,320,"AMR",2.68623198395786,132,486.582621882437
"2930","Lower middle income","MAR","EMRO D","Middle East & North Africa","EMRO","gn","3g cephalosporins","BSI","global",29,106,39,249,"global",9,324,-145,763,215,-53,699,"AMR",2.68623198395786,106,390.740590299533
"2931","Lower middle income","MAR","EMRO D","Middle East & North Africa","EMRO","gn","carbapenems","BSI","wbregion",2,88,-512,732,NA,NA,NA,NA,NA,88,-512,732,"AMR",2.68623198395786,88,324.388414588292
"2932","Lower middle income","MAR","EMRO D","Middle East & North Africa","EMRO","gp","glycopeptides","BSI","global",14,175,59,415,"global",5,2793,-593,6280,1484,-76,5725,"AMR",2.68623198395786,175,645.090597192625
